_id,Cabinet,Dept,Program,Expense Category,FY22 Actual Expense,FY23 Actual Expense,FY24 Appropriation,FY25 Budget
18,Mayor's Cabinet,Mayor's Office,Mayor's Communications,Contractual Services,123.21,4977.95,70500,86054
19,Mayor's Cabinet,Mayor's Office,Mayor's Communications,Supplies & Materials,#Missing,55.26,3000,3000
20,Mayor's Cabinet,Mayor's Office,Mayor's Communications,Current Charges & Obligations,980,191.9,1000,4000
21,Mayor's Cabinet,Mayor's Office,Mayor's Communications,Equipment,#Missing,86.05,22500,37717.6
22,Mayor's Cabinet,Election Division,Election Division,Personnel Services,3297454.25,3300884.34,4033419.74,3698618.04
23,Mayor's Cabinet,Election Division,Election Division,Contractual Services,841673.6,818503.53,1136484.81,760775.2
24,Mayor's Cabinet,Election Division,Election Division,Supplies & Materials,815739.75,521024.93,1385303,862434.99
25,Mayor's Cabinet,Election Division,Election Division,Current Charges & Obligations,70739.98,123766.79,203924,165200
26,Mayor's Cabinet,Election Division,Election Division,Equipment,353922.49,372058.55,225999.24,88703
27,Mayor's Cabinet,Listing Board,Listing Board,Personnel Services,289834.32,331965.42,461393.96,487292.17
28,Mayor's Cabinet,Listing Board,Listing Board,Contractual Services,36514.14,13720.4,60404,70404
29,Mayor's Cabinet,Listing Board,Listing Board,Supplies & Materials,245386.94,255694.81,285700,303300
30,Mayor's Cabinet,Intergovernmental Relations,IGR,Personnel Services,677057.29,800998.59,919295.96,982069.04
31,Mayor's Cabinet,Intergovernmental Relations,IGR,Contractual Services,181763.77,25910.05,41161,161161
32,Mayor's Cabinet,Intergovernmental Relations,IGR,Supplies & Materials,4063.22,2429.04,6200,6200
33,Mayor's Cabinet,Intergovernmental Relations,IGR,Current Charges & Obligations,192661.08,157840.31,158209,161976
34,Mayor's Cabinet,Intergovernmental Relations,IGR,Equipment,#Missing,10398.28,#Missing,#Missing
35,Mayor's Cabinet,Intergovernmental Relations,Grants Administration,Personnel Services,113796.23,105189.78,114856.55,0
36,Mayor's Cabinet,Intergovernmental Relations,Grants Administration,Contractual Services,198.21,301.79,300,0
37,Mayor's Cabinet,Intergovernmental Relations,Grants Administration,Current Charges & Obligations,300,300,330,0
38,Mayor's Cabinet,Law Department,Law Operations,Personnel Services,1720068.17,1339388.77,1730875.2,1774155.91
39,Mayor's Cabinet,Law Department,Law Operations,Contractual Services,318348.31,540744.6,284989.2,212085
40,Mayor's Cabinet,Law Department,Law Operations,Supplies & Materials,11120.92,12023.33,18650,13650
41,Mayor's Cabinet,Law Department,Law Operations,Current Charges & Obligations,49673.26,86066.89,105159,134500
42,Mayor's Cabinet,Law Department,Law Operations,Equipment,660,10415,0,0
43,Mayor's Cabinet,Law Department,Litigation,Personnel Services,728780.69,1154598.72,1493350.64,1614337.72
44,Mayor's Cabinet,Law Department,Litigation,Contractual Services,2348433.15,2436853.9,1832339,1867458
45,Mayor's Cabinet,Law Department,Litigation,Supplies & Materials,1210.44,49.97,0,2500
46,Mayor's Cabinet,Law Department,Litigation,Current Charges & Obligations,7387.21,19454.98,23270,10000
47,Mayor's Cabinet,Law Department,Litigation,Equipment,2535,0,0,0
48,Mayor's Cabinet,Law Department,Government Services,Personnel Services,2974614.11,4102142.35,4975153.76,5379317.57
49,Mayor's Cabinet,Law Department,Government Services,Contractual Services,36453.06,29442.26,87754.2,118558
50,Mayor's Cabinet,Law Department,Government Services,Supplies & Materials,902.55,271.96,0,2500
51,Mayor's Cabinet,Law Department,Government Services,Current Charges & Obligations,23801.57,14817.35,26100,20000
52,Mayor's Cabinet,Law Department,Government Services,Equipment,3171,0,0,0
53,Equity & Inclusion Cabinet,Office of Equity,Equity,Personnel Services,379820.05,759366,1581279.74,2211129.85
54,Equity & Inclusion Cabinet,Office of Equity,Equity,Contractual Services,15435.08,85230.52,938010,1043378.21
55,Equity & Inclusion Cabinet,Office of Equity,Equity,Supplies & Materials,1462.83,19355.86,32100,29500
56,Equity & Inclusion Cabinet,Office of Equity,Equity,Current Charges & Obligations,2179.88,3730.43,4533,5322.14
57,Equity & Inclusion Cabinet,Office of Equity,Equity,Equipment,16636.2,13102.23,1249,1249
58,Equity & Inclusion Cabinet,Office of Equity,Equity & Inclusion,Personnel Services,1661595.3,#Missing,#Missing,#Missing
59,Equity & Inclusion Cabinet,Office of Equity,Equity & Inclusion,Contractual Services,1187521.92,#Missing,#Missing,#Missing
60,Equity & Inclusion Cabinet,Office of Equity,Equity & Inclusion,Supplies & Materials,9694.27,#Missing,#Missing,#Missing
61,Equity & Inclusion Cabinet,Office of Equity,Equity & Inclusion,Current Charges & Obligations,4031.87,#Missing,#Missing,#Missing
62,Equity & Inclusion Cabinet,Office of Equity,Equity & Inclusion,Equipment,11692.09,#Missing,#Missing,#Missing
63,Equity & Inclusion Cabinet,Office of Diversity,Diversity,Personnel Services,193721.87,#Missing,#Missing,#Missing
64,Equity & Inclusion Cabinet,Office of Diversity,Diversity,Contractual Services,40655.58,#Missing,#Missing,#Missing
65,Equity & Inclusion Cabinet,Office of Diversity,Diversity,Current Charges & Obligations,18695.83,#Missing,#Missing,#Missing
66,Equity & Inclusion Cabinet,Office of Diversity,Diversity,Equipment,1147,#Missing,#Missing,#Missing
67,Equity & Inclusion Cabinet,Office of Resiliency & Racial Equity,MORRE,Personnel Services,263230.42,51453.17,#Missing,#Missing
68,Equity & Inclusion Cabinet,Office of Resiliency & Racial Equity,MORRE,Contractual Services,1473716.13,775144.96,#Missing,#Missing
69,Equity & Inclusion Cabinet,Office of Resiliency & Racial Equity,MORRE,Supplies & Materials,3509.73,66640.3,#Missing,#Missing
70,Equity & Inclusion Cabinet,Office of Resiliency & Racial Equity,MORRE,Equipment,#Missing,2449.84,#Missing,#Missing
71,Equity & Inclusion Cabinet,Office of Language & Communications Access,LCA,Personnel Services,248986.69,752006.98,1072099.19,1160872.99
72,Equity & Inclusion Cabinet,Office of Language & Communications Access,LCA,Contractual Services,463090.02,762054.45,880000,926162
73,Equity & Inclusion Cabinet,Office of Language & Communications Access,LCA,Supplies & Materials,2481.05,19672.27,13143,13143
74,Equity & Inclusion Cabinet,Office of Language & Communications Access,LCA,Current Charges & Obligations,#Missing,5308.92,5000,12375
75,Equity & Inclusion Cabinet,Office of Language & Communications Access,LCA,Equipment,2025.36,209104.88,76945,56945
76,Equity & Inclusion Cabinet,Office of Language & Communications Access,LCA,Other Expenses,#Missing,#Missing,#Missing,0
77,Equity & Inclusion Cabinet,Human Right Commission,Human Rights,Personnel Services,359467.99,199127.38,527894.77,368379.16
78,Equity & Inclusion Cabinet,Human Right Commission,Human Rights,Contractual Services,1845.86,75779.11,87300,87300
79,Equity & Inclusion Cabinet,Human Right Commission,Human Rights,Supplies & Materials,242.9,#Missing,8000,8000
80,Equity & Inclusion Cabinet,Human Right Commission,Human Rights,Current Charges & Obligations,3198.59,#Missing,1200,1200
81,Equity & Inclusion Cabinet,Human Right Commission,Human Rights,Equipment,5495,#Missing,#Missing,#Missing
82,Equity & Inclusion Cabinet,Office for Immigrant Advancement,Immigrant Advancement,Personnel Services,806227.45,810066.67,1272870.17,1289608.69
83,Equity & Inclusion Cabinet,Office for Immigrant Advancement,Immigrant Advancement,Contractual Services,858347.52,2093477.77,2023217,2373217
84,Equity & Inclusion Cabinet,Office for Immigrant Advancement,Immigrant Advancement,Supplies & Materials,9273.48,21686.32,11400,11400
85,Equity & Inclusion Cabinet,Office for Immigrant Advancement,Immigrant Advancement,Current Charges & Obligations,4486.53,26993.43,15324,15324
86,Equity & Inclusion Cabinet,Office for Immigrant Advancement,Immigrant Advancement,Equipment,13553.29,1999.81,#Missing,#Missing
87,Equity & Inclusion Cabinet,Women's Advancement,Women's Commission Program,Personnel Services,309104.93,295718.08,495311.11,516152.25
88,Equity & Inclusion Cabinet,Women's Advancement,Women's Commission Program,Contractual Services,432183.65,47657.18,185973,225973
89,Equity & Inclusion Cabinet,Women's Advancement,Women's Commission Program,Supplies & Materials,1394.5,11275.75,800,610
90,Equity & Inclusion Cabinet,Women's Advancement,Women's Commission Program,Current Charges & Obligations,3024.11,36.04,#Missing,190
91,Equity & Inclusion Cabinet,Women's Advancement,Women's Commission Program,Equipment,3501.06,#Missing,#Missing,#Missing
92,Equity & Inclusion Cabinet,Black Male Advancement,BMA,Personnel Services,#Missing,380890.85,1055105.34,968898.97
93,Equity & Inclusion Cabinet,Black Male Advancement,BMA,Contractual Services,#Missing,987742.8,726550,1101550
94,Equity & Inclusion Cabinet,Black Male Advancement,BMA,Supplies & Materials,#Missing,20024.37,10500,10500
95,Equity & Inclusion Cabinet,Black Male Advancement,BMA,Current Charges & Obligations,#Missing,250,2800,2800
96,Equity & Inclusion Cabinet,Black Male Advancement,BMA,Equipment,#Missing,8169.09,9500,9500
97,Equity & Inclusion Cabinet,Black Male Advancement,BMA,Other Expenses,#Missing,#Missing,#Missing,0
98,Equity & Inclusion Cabinet,Fair Housing & Equity,Fair Housing Commission,Personnel Services,266874.1,373917.62,306980.58,338703.29
99,Equity & Inclusion Cabinet,Fair Housing & Equity,Fair Housing Commission,Contractual Services,168529.03,21661.25,166240,418297
100,Equity & Inclusion Cabinet,Fair Housing & Equity,Fair Housing Commission,Supplies & Materials,6572.16,1929.4,11822,5000
101,Equity & Inclusion Cabinet,Fair Housing & Equity,Fair Housing Commission,Current Charges & Obligations,42021.83,6049.6,235,5000
102,Equity & Inclusion Cabinet,Fair Housing & Equity,Fair Housing Commission,Equipment,16760,#Missing,#Missing,#Missing
103,Equity & Inclusion Cabinet,Fair Housing & Equity,Human Rights History,Contractual Services,143.43,1394.1,#Missing,#Missing
104,Equity & Inclusion Cabinet,LGBTQ+ Advancement,LGBTQ+ Admin,Personnel Services,#Missing,291338.02,481539.12,536202.92
105,Equity & Inclusion Cabinet,LGBTQ+ Advancement,LGBTQ+ Admin,Contractual Services,#Missing,180884.92,228250,223250
106,Equity & Inclusion Cabinet,LGBTQ+ Advancement,LGBTQ+ Admin,Supplies & Materials,#Missing,#Missing,16000,16000
107,Equity & Inclusion Cabinet,LGBTQ+ Advancement,LGBTQ+ Admin,Current Charges & Obligations,#Missing,#Missing,2750,2750
108,Equity & Inclusion Cabinet,LGBTQ+ Advancement,LGBTQ+ Admin,Equipment,#Missing,4942.5,4000,4000
109,Equity & Inclusion Cabinet,Commission For Persons W/Disabilities,Disabilities,Personnel Services,483631.8,585951.01,742847.18,814683.15
110,Equity & Inclusion Cabinet,Commission For Persons W/Disabilities,Disabilities,Contractual Services,15904.75,39327.83,63069,63860
111,Equity & Inclusion Cabinet,Commission For Persons W/Disabilities,Disabilities,Supplies & Materials,9232.49,7236.14,7490,7360
112,Equity & Inclusion Cabinet,Commission For Persons W/Disabilities,Disabilities,Current Charges & Obligations,#Missing,40.89,#Missing,7500
113,Equity & Inclusion Cabinet,Commission For Persons W/Disabilities,Disabilities,Equipment,2974,29.44,0,#Missing
114,OPAT Cabinet,Office of Police Accountability & Transparency,OPAT Commission,Personnel Services,482414.94,762043.41,1216543.92,1244661.48
115,OPAT Cabinet,Office of Police Accountability & Transparency,OPAT Commission,Contractual Services,65382.21,71366.56,84610,84775
116,OPAT Cabinet,Office of Police Accountability & Transparency,OPAT Commission,Supplies & Materials,8838.29,13165.1,13000,8500
117,OPAT Cabinet,Office of Police Accountability & Transparency,OPAT Commission,Current Charges & Obligations,43996.1,102589.82,102631.9,107840
118,OPAT Cabinet,Office of Police Accountability & Transparency,OPAT Commission,Equipment,92311.76,11932.83,6000,5500
119,OPAT Cabinet,Office of Police Accountability & Transparency,Civilian Review Board (CRB),Personnel Services,16225,168146.48,19414.28,19285.71
120,OPAT Cabinet,Office of Police Accountability & Transparency,Internal Affairs Oversight Panel (IOAP),Personnel Services,8575,4500,10785.72,10714.29
121,Operations Cabinet,Property Management Department,PM Administration,Personnel Services,1990985.16,1721538.95,2213924.66,2317544.14
122,Operations Cabinet,Property Management Department,PM Administration,Contractual Services,116724.08,94467.95,110015.6,115279
123,Operations Cabinet,Property Management Department,PM Administration,Supplies & Materials,30618.58,26974.83,74100,57114.78
124,Operations Cabinet,Property Management Department,PM Administration,Current Charges & Obligations,125558.95,132375.44,89415,90875
125,Operations Cabinet,Property Management Department,PM Administration,Equipment,#Missing,#Missing,0,#Missing
126,Operations Cabinet,Property Management Department,Building Operations,Personnel Services,2208087.82,2551554.71,4187044.04,3299519.89
127,Operations Cabinet,Property Management Department,Building Operations,Contractual Services,7006501.08,6659281.59,8908972.33,10592960.93
128,Operations Cabinet,Property Management Department,Building Operations,Supplies & Materials,667193.95,159264.72,180385.32,194250
129,Operations Cabinet,Property Management Department,Building Operations,Current Charges & Obligations,8873.19,49736.65,1702803,1363603
130,Operations Cabinet,Property Management Department,Building Operations,Equipment,27380.36,122641.57,157708.5,188396.83
131,Operations Cabinet,Property Management Department,Alterations & Repair,Personnel Services,635205.99,732823.2,732905.05,1417660.59
132,Operations Cabinet,Property Management Department,Alterations & Repair,Contractual Services,5766626.66,3019565.45,1198575.6,1493888.2
133,Operations Cabinet,Property Management Department,Alterations & Repair,Supplies & Materials,69636.74,84350.96,69965,30090
134,Operations Cabinet,Property Management Department,Alterations & Repair,Equipment,27329.6,108644.29,19793.4,69738.65
135,Operations Cabinet,Property Management Department,Enforcement,Personnel Services,2501062.92,3310680.63,2983395.06,2755168.09
136,Operations Cabinet,Property Management Department,Enforcement,Contractual Services,99948.35,120891.17,182133.1,206498.27
137,Operations Cabinet,Property Management Department,Enforcement,Supplies & Materials,75345.26,121982.74,45055.33,76393.08
138,Operations Cabinet,Property Management Department,Enforcement,Current Charges & Obligations,8759.98,7200,18000,18000
139,Operations Cabinet,Property Management Department,Enforcement,Equipment,27494.01,39930.39,103505.29,133229.57
140,Operations Cabinet,Property Management Department,Security Systems,Personnel Services,644620.46,950831.9,825302.13,911560.55
141,Operations Cabinet,Property Management Department,Security Systems,Contractual Services,4423.3,-359.79,15586,16288
142,Operations Cabinet,Property Management Department,Security Systems,Supplies & Materials,14248.89,26431.47,17400,22000
143,Operations Cabinet,Property Management Department,Security Systems,Current Charges & Obligations,32.4,673.25,900,900
144,Operations Cabinet,Property Management Department,Security Systems,Equipment,6834.21,12944.73,41188.6,37691.55
145,Operations Cabinet,Property Management Department,Building Systems,Personnel Services,611583.39,701495.34,621244.92,1098046.75
146,Operations Cabinet,Property Management Department,Building Systems,Contractual Services,1268163.5,1322010.22,1596310,1799517.8
147,Operations Cabinet,Property Management Department,Building Systems,Supplies & Materials,11835.91,47251.46,54500,57000
148,Operations Cabinet,Property Management Department,Building Systems,Current Charges & Obligations,2450,650,2500,5000
149,Operations Cabinet,Property Management Department,Building Systems,Equipment,2694.99,3723.49,3000,3000
150,Operations Cabinet,Property Management Department,Animal Control History,Equipment,#Missing,#Missing,0,#Missing
151,Operations Cabinet,Public Facilities Department,PFD Capital Construction,Personnel Services,7335539.27,8252807.83,9546891.44,10039336.82
152,Operations Cabinet,Public Facilities Department,PFD Capital Construction,Contractual Services,474416.13,305414.67,477395,486879
153,Operations Cabinet,Public Facilities Department,PFD Capital Construction,Supplies & Materials,13583.69,40668,21502.2,21520.68
154,Operations Cabinet,Public Facilities Department,PFD Capital Construction,Current Charges & Obligations,10238.21,7661.21,20713,13713
155,Operations Cabinet,Public Facilities Department,PFD Capital Construction,Equipment,9222.91,#Missing,5800,5800
156,Operations Cabinet,Inspectional Services Department,ISD Commissioner's Office,Personnel Services,1263528.21,1294935.52,1013044.87,1066967.04
157,Operations Cabinet,Inspectional Services Department,ISD Commissioner's Office,Contractual Services,395255.32,397530.23,292099.47,252082.03
158,Operations Cabinet,Inspectional Services Department,ISD Commissioner's Office,Supplies & Materials,1788.81,13567.83,1258,1585.54
159,Operations Cabinet,Inspectional Services Department,ISD Commissioner's Office,Current Charges & Obligations,65761.2,107105.49,60904,27970
160,Operations Cabinet,Inspectional Services Department,ISD Commissioner's Office,Equipment,2453.24,2453.22,2453,2453.23
161,Operations Cabinet,Inspectional Services Department,ISD Administration & Finance,Personnel Services,2519242.9,2753797.8,3492137.22,3409095.91
162,Operations Cabinet,Inspectional Services Department,ISD Administration & Finance,Contractual Services,415183.58,506756.44,336850,339120
163,Operations Cabinet,Inspectional Services Department,ISD Administration & Finance,Supplies & Materials,159835.72,166700.28,206982,204731.95
164,Operations Cabinet,Inspectional Services Department,ISD Administration & Finance,Current Charges & Obligations,917900.01,829970.71,133126.99,135943
165,Operations Cabinet,Inspectional Services Department,ISD Administration & Finance,Equipment,243167.18,208667.4,24278.61,24278.61
166,Operations Cabinet,Inspectional Services Department,Buildings & Structures,Personnel Services,7746582.28,8061678.83,8987225.07,9507822.83
167,Operations Cabinet,Inspectional Services Department,Buildings & Structures,Contractual Services,560879.97,219883.32,302010,298924
168,Operations Cabinet,Inspectional Services Department,Buildings & Structures,Supplies & Materials,29977.22,24619.46,24238,22694.55
169,Operations Cabinet,Inspectional Services Department,Buildings & Structures,Current Charges & Obligations,8833.27,6784,6150,6150
170,Operations Cabinet,Inspectional Services Department,Buildings & Structures,Equipment,113132.81,8521.69,8358.12,11073.87
171,Operations Cabinet,Inspectional Services Department,Field Services,Personnel Services,6894352.23,6807886.77,8077854.32,8299289.83
172,Operations Cabinet,Inspectional Services Department,Field Services,Contractual Services,235796.6,330367.45,300915,352616
173,Operations Cabinet,Inspectional Services Department,Field Services,Supplies & Materials,51271.84,46077.81,28312.98,39783.21
174,Operations Cabinet,Inspectional Services Department,Field Services,Current Charges & Obligations,3765,2766,6800,6800
175,Operations Cabinet,Inspectional Services Department,Field Services,Equipment,33062.15,35495.48,48339.47,42929.66
176,Community Engagement Cabinet,Neighborhood Services,ONS Administration,Personnel Services,673613.21,754111.04,740676.6,1061796.64
177,Community Engagement Cabinet,Neighborhood Services,ONS Administration,Contractual Services,161962.77,40519.09,111100,130135
178,Community Engagement Cabinet,Neighborhood Services,ONS Administration,Supplies & Materials,1902.84,31402.38,7285,10439.99
179,Community Engagement Cabinet,Neighborhood Services,ONS Administration,Current Charges & Obligations,24103.41,26876.39,8087,26180.26
180,Community Engagement Cabinet,Neighborhood Services,ONS Administration,Equipment,16373,60645.07,#Missing,0
181,Community Engagement Cabinet,Neighborhood Services,Neighborhood Serv,Personnel Services,1583781.78,1511602.67,2030239.64,1874630.68
182,Community Engagement Cabinet,Neighborhood Services,Neighborhood Serv,Contractual Services,102233.72,24625.52,16081.2,21372
183,Community Engagement Cabinet,Neighborhood Services,Neighborhood Serv,Supplies & Materials,#Missing,612.3,3800,1592.08
184,Community Engagement Cabinet,Neighborhood Services,Office of Civic Organizing,Personnel Services,74400.76,87212.36,190773.44,96588.76
185,Community Engagement Cabinet,Neighborhood Services,Office of Civic Organizing,Contractual Services,8500.68,6073.19,36792,77977
186,Community Engagement Cabinet,Neighborhood Services,Office of Civic Organizing,Supplies & Materials,#Missing,497.32,500,151
187,Community Engagement Cabinet,Neighborhood Services,Office of Civic Organizing,Equipment,#Missing,#Missing,#Missing,39969.6
188,Community Engagement Cabinet,Neighborhood Services,Boston 311,Personnel Services,1575088.58,1705561.57,1993242.51,2176434.32
189,Community Engagement Cabinet,Neighborhood Services,Boston 311,Contractual Services,#Missing,10734.02,13318,12070
190,Community Engagement Cabinet,Neighborhood Services,Boston 311,Supplies & Materials,#Missing,494.19,2700,510
191,Arts & Culture Cabinet,Office of Arts & Culture,Arts and Culture,Personnel Services,1211535.16,1502451.11,2212299.61,2259825.11
192,Arts & Culture Cabinet,Office of Arts & Culture,Arts and Culture,Contractual Services,2234496.11,1986945.11,2257041.22,2199486.95
193,Arts & Culture Cabinet,Office of Arts & Culture,Arts and Culture,Supplies & Materials,2961.39,1641.75,15000,15000
194,Arts & Culture Cabinet,Office of Arts & Culture,Arts and Culture,Current Charges & Obligations,45006.96,29029.3,45752,47400
195,Arts & Culture Cabinet,Office of Arts & Culture,Arts and Culture,Equipment,1273.19,2558.95,0,0
196,Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Economic Development,Personnel Services,1292740.38,1548605.13,1725038.99,1880370.36
197,Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Economic Development,Contractual Services,720603.83,355527.89,335503.07,863554.16
198,Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Economic Development,Supplies & Materials,5679.62,11552.21,23500,23500
199,Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Economic Development,Current Charges & Obligations,46719.09,73174.87,83544,83414
200,Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Economic Development,Equipment,6477.78,47565.86,3599.45,3599
201,Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Equity & Inclusion History,Contractual Services,12049.25,897.17,#Missing,#Missing
202,Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Equity & Inclusion History,Current Charges & Obligations,4.32,#Missing,#Missing,#Missing
203,Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Small & Local Business,Personnel Services,160699.93,520228.65,937314.44,859429.84
204,Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Small & Local Business,Contractual Services,1623229.05,2656698.67,3318776.05,3390854.84
205,Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Small & Local Business,Supplies & Materials,5325,48242.32,20300,20300
206,Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Small & Local Business,Current Charges & Obligations,#Missing,1500,140300,300
207,Economic Opportunity & Inclusion Cabinet,Office of Economic Opportunity & Inclusion,Small & Local Business,Equipment,1395.48,#Missing,4889.67,4890
208,Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Personnel Services,654298.54,682338.22,731753.33,640433.58
209,Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Contractual Services,6184.04,6675.23,6635,4404
210,Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Supplies & Materials,1756.17,168.68,2250,2250
211,Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Current Charges & Obligations,4865.4,2020.42,350,#Missing
212,Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Equipment,#Missing,994.37,#Missing,#Missing
213,Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Affairs,Personnel Services,67367.8,75769.09,75051.99,53713.31
214,Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Affairs,Contractual Services,#Missing,1260.85,1052,1754
215,Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Licensing_Board,Personnel Services,865178.33,991880.63,1110115.74,1261873.1
216,Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Licensing_Board,Contractual Services,39875.61,6013.84,14452,16956
217,Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Licensing_Board,Supplies & Materials,8561.54,9289.81,12250,12250
218,Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Licensing_Board,Current Charges & Obligations,3333.84,7869.95,5820,5773
219,Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Licensing_Board,Equipment,#Missing,#Missing,0,9420
220,Economic Opportunity & Inclusion Cabinet,Supplier Diversity,Supplier Diversity Administation,Personnel Services,#Missing,#Missing,1798209.77,1733702.99
221,Economic Opportunity & Inclusion Cabinet,Supplier Diversity,Supplier Diversity Administation,Contractual Services,#Missing,#Missing,1096758,591926
222,Economic Opportunity & Inclusion Cabinet,Supplier Diversity,Supplier Diversity Administation,Supplies & Materials,#Missing,#Missing,5610,6110
223,Economic Opportunity & Inclusion Cabinet,Supplier Diversity,Supplier Diversity Administation,Current Charges & Obligations,#Missing,#Missing,0,#Missing
224,Economic Opportunity & Inclusion Cabinet,Supplier Diversity,Supplier Diversity Administation,Equipment,#Missing,#Missing,4800,4800
225,Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism Administration,Personnel Services,430981.83,453334.64,606725.52,680807.49
226,Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism Administration,Contractual Services,1014363.09,17233.84,36480,36010
227,Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism Administration,Supplies & Materials,2858.15,6848.2,14400,14399.61
228,Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism Administration,Current Charges & Obligations,409.26,5241.23,#Missing,0
229,Economic Opportunity & Inclusion Cabinet,Office of Tourism,Film & Special Events,Personnel Services,224922.91,227680.69,282855.07,367312.98
230,Economic Opportunity & Inclusion Cabinet,Office of Tourism,Film & Special Events,Contractual Services,5421.37,147975.14,331502,257200
231,Economic Opportunity & Inclusion Cabinet,Office of Tourism,Film & Special Events,Supplies & Materials,1306.71,1869.07,1947.96,1468.39
232,Economic Opportunity & Inclusion Cabinet,Office of Tourism,Film & Special Events,Current Charges & Obligations,44116.53,31244.98,59954,59954
233,Economic Opportunity & Inclusion Cabinet,Office of Tourism,Film & Special Events,Equipment,30273.83,21733.81,24488.81,44488.81
234,Economic Opportunity & Inclusion Cabinet,Office of Tourism,Film & Special Events,Other Expenses,173135.44,143073.43,225000,264200
235,Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism,Personnel Services,75461.84,19386.51,169898.32,96492.96
236,Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism,Contractual Services,1504.34,#Missing,4500,4500
237,Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism,Supplies & Materials,484.03,#Missing,2500,2500
238,Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism,Current Charges & Obligations,250,50.22,100,100
