_id,Department,Project_Name,Scope_Of_Work,PM_Department,Project_Status,Neighborhood,Authorization_Existing,Authorization_FY,Authorization_Future,Grant_Existing,Grant_FY,Grant_Future,GO_Expended,Capital_Year_0,CapitalYear_1,Capital_Year_25,Grant_Expended,Grant_Year_0,Grant_Year_1,GrantYear_25,External_Funds,Total_Project_Budget
11,Boston Centers for Youth and Families,BCYF Roslindale Community Center,"Interior and exterior building renovation including improvements to athletic facilities, redesign the front entrance, window and door replacements, and other facility upgrades to enable using the facility as a sheltering site year-round.",Public Facilities Department,To Be Scheduled,Roslindale,1000000,0,0,0,0,0,24000.00,0,0,976000.00,0.00,0,0,0.00,0,1000000
12,Boston Centers for Youth and Families,Youth Budget Round 9,"Engage youth across the City to create a capital ""Youth Budget"", using participatory budgeting methods.",Youth Engagement and Advancement,To Be Scheduled,Citywide,1000000,0,0,0,0,0,0.00,0,0,1000000.00,0.00,0,0,0.00,0,1000000
13,Boston Centers for Youth and Families,BCYF Allston Community Center,Develop building program and assess siting options for a new community center in Allston/Brighton.,Public Facilities Department,To Be Scheduled,Allston/Brighton,4125000,0,0,0,0,0,38484.00,86516,0,4000000.00,0.00,0,0,0.00,0,4125000
14,Boston Centers for Youth and Families,Youth Budget Round 10,"Engage youth across the City to create a capital ""Youth Budget"", using participatory budgeting methods.",Youth Engagement and Advancement,To Be Scheduled,Citywide,1000000,0,0,0,0,0,0.00,0,0,1000000.00,0.00,0,0,0.00,0,1000000
15,Boston Centers for Youth and Families,BCYF Tobin Community Center Improvements,"Renovations to the Tobin Community Center, including accessibility improvements and AC work in the gym space.",Public Facilities Department,In Design,Mission Hill,1000000,0,0,0,0,0,0.00,45950,500000,454050.00,0.00,0,0,0.00,0,1000000
16,Boston Centers for Youth and Families,BCYF Dorchester Community Center,Design and construct a new community center based on the recent programming study.,Public Facilities Department,In Design,Dorchester,65000000,0,0,0,0,0,0.00,4000000,10000000,51000000.00,0.00,0,0,0.00,0,65000000
17,Boston Centers for Youth and Families,BCYF Clougherty Pool,"Replace existing pool, pool deck, pool filtration system, and renovate existing bath house building.",Public Facilities Department,In Construction,Charlestown,33500000,0,0,2000000,0,0,618044.00,15000000,15000000,2881956.00,0.00,0,2000000,0.00,0,35500000
18,Boston Centers for Youth and Families,BCYF Johnson Community Center Renovations,Study to assess scope of interior and exterior improvements for a renovation of the community center.,Public Facilities Department,To Be Scheduled,Mission Hill,250000,0,0,0,0,0,0.00,0,0,250000.00,0.00,0,0,0.00,0,250000
19,Boston Planning and Development Agency,RLFMP Resiliency Improvements,Climate resilience improvements at the Raymond L. Flynn Marine Park.,Boston Planning and Development Agency,In Construction,South Boston,3075000,0,0,0,0,0,224179.00,5000,0,2845821.00,0.00,0,0,0.00,0,3075000
20,Boston Planning and Development Agency,Pier 10 Park Ferry Terminal,Develop design plans to create a ferry service from Pier 10 to North Station for more reliable transit services in the Raymond L. Flynn Marine Park.,Boston Planning and Development Agency,In Construction,South Boston,500000,0,0,0,0,0,0.00,0,0,500000.00,0.00,0,0,0.00,0,500000
21,Boston Planning and Development Agency,Little Mystic Open Space / Harborwalk,Extend Harborwalk along the edge of Little Mystic Channel on property owned by the BPDA. City funds will be used to complete the design. The Harborwalk extension will connect with the new Chelsea Street crossing to the Charlestown Navy Yard.,Boston Planning and Development Agency,To Be Scheduled,Charlestown,1000000,0,0,0,0,0,0.00,0,0,1000000.00,0.00,0,0,0.00,0,1000000
22,Boston Planning and Development Agency,Long Wharf Resiliency Improvements,"Design and engineering work for the resilience needs of Downtown and the North End, to advance the solutions outlined in Climate Ready Boston. The project includes stabilizing the east face seawall.",Boston Planning and Development Agency,In Design,Downtown/Government Center,1000000,0,5000000,0,0,0,0.00,0,0,6000000.00,0.00,0,0,0.00,0,6000000
23,Boston Planning and Development Agency,RLFMP Wharf 8/Pier 10 Improvements,"Design and engineering work for the resilience needs of South Boston and Seaport, to advance the solutions outlined in Climate Ready Boston, specifically in the area of Wharf 8 and Pier 10 for improvements of existing waterfront structures.",Boston Planning and Development Agency,In Design,South Boston,5000000,0,0,0,0,0,0.00,0,0,5000000.00,0.00,0,0,0.00,0,5000000
24,Boston Planning and Development Agency,RLFMP South Jetty and Bulkhead Rehabilitation,Construction of a replacement bulkhead and jetty near Drydock 3. Project includes demolition and removal of existing South Jetty.,Boston Planning and Development Agency,In Construction,South Boston,7900000,0,0,0,0,0,0.00,0,0,7900000.00,0.00,0,0,0.00,0,7900000
25,Boston Planning and Development Agency,RLFMP Fid Kennedy Realignment,"Design, engineering, and reconstruction of Fid Kennedy Ave. into a designated industrial trucking route for the RLFMP.",Boston Planning and Development Agency,In Design,South Boston,5000000,0,0,0,0,0,0.00,0,0,5000000.00,0.00,0,0,0.00,0,5000000
26,Boston Planning and Development Agency,RLFMP Streetscape Improvements,"Design and construction of improvements to the streets and sidewalks in the RLFMP to meet City standards including sidewalk widening, ADA compliance, and multimodal transportation infrastructure.",Boston Planning and Development Agency,In Design,South Boston,5000000,0,0,0,0,0,0.00,0,0,5000000.00,0.00,0,0,0.00,0,5000000
27,Public Health Commission,EMS Radio System Upgrades,Design and implement upgrades to the EMS radio system.,Public Health Commission,Implementation Underway,Citywide,23215000,0,0,0,0,0,8913981.00,4000000,6000000,4301019.00,0.00,0,0,0.00,0,23215000
28,Public Health Commission,EMS Seaport Station,Design and construction of a new EMS station.,Public Facilities Department,In Design,South Boston,13000000,0,0,0,0,0,654978.00,900000,6000000,5445022.00,0.00,0,0,0.00,0,13000000
29,Public Health Commission,Long Island Facility Preservation,Repair and upkeep of buildings on Long Island that may be utilized in the development of the recovery campus.,Public Facilities Department,Study Underway,Harbor Islands,38220000,0,0,0,0,0,483349.00,2500000,0,35236651.00,0.00,0,0,0.00,0,38220000
30,Public Health Commission,Long Island Recovery Campus,Renovate existing buildings on Long Island to support the creation of a recovery campus.,Public Facilities Department,To Be Scheduled,Harbor Islands,2000000,0,0,0,0,0,92543.00,0,0,1907457.00,0.00,0,0,0.00,0,2000000
31,Public Health Commission,IT Disaster Recovery/Business Continuity,Establish a disaster recovery site to increase disaster preparedness of BPHC’s primary computer system infrastructure.,Department of Innovation and Technology,To Be Scheduled,Citywide,565000,0,0,0,0,0,0.00,0,0,565000.00,0.00,0,0,0.00,0,565000
32,Public Health Commission,Northampton Square Electrical Improvements,Implement electrical upgrades at Northampton Square including separation of the Miranda Creamer Low Rise electrical service from the High Rise.,Public Facilities Department,In Construction,Roxbury,330000,0,0,0,0,0,13000.00,260000,50000,7000.00,0.00,0,0,0.00,0,330000
33,Public Health Commission,EMS Neighborhood Station Study,Programming and site evaluation to support EMS facilities that better serve each community with Emergency Medical Services.,Public Facilities Department,To Be Scheduled,Citywide,500000,0,0,0,0,0,0.00,150000,0,350000.00,0.00,0,0,0.00,0,500000
34,Public Health Commission,Northampton Square Garage,Structural and other repairs as needed.,Public Facilities Department,In Design,Roxbury,400000,0,0,0,0,0,0.00,40000,95600,264400.00,0.00,0,0,0.00,0,400000
35,Public Health Commission,201 River Street HVAC,"Upgrade HVAC for improved heating, cooling, and ventilation systems.",Public Facilities Department,In Design,Mattapan,4850000,0,0,0,0,0,0.00,0,0,4850000.00,0.00,0,0,0.00,0,4850000
36,Public Health Commission,Franklin Park Ambulance Station,Study for new Boston EMS station within Franklin Park.,Public Facilities Department,To Be Scheduled,Roxbury,200000,0,0,0,0,0,0.00,0,0,200000.00,0.00,0,0,0.00,0,200000
37,Boston Public Library,Central Library: McKim Fire Panel,Upgrade the McKim Building fire panel.,Public Facilities Department,In Design,Back Bay,3100000,0,0,0,0,0,52916.00,100000,2000000,947084.00,0.00,0,0,0.00,0,3100000
38,Boston Public Library,Chinatown Branch Library,Design and construct a new branch library that supports the needs of the neighborhood and reflects the Boston Public Library's Compass Principles.,Public Facilities Department,In Design,Chinatown,22000000,0,0,0,0,0,79100.00,100000,10000000,11820900.00,0.00,0,0,0.00,0,22000000
39,Boston Public Library,Codman Square Branch Library,Conduct a facility assessment and develop a building program that reflects the BPL's Compass Principles and supports the needs of the neighborhood. Design and construct a new branch library.,Public Facilities Department,To Be Scheduled,Dorchester,26300000,0,0,0,0,0,93740.00,0,0,26206260.00,0.00,0,0,0.00,0,26300000
40,Boston Public Library,Fields Corner Branch Library,Design and construct a new branch library that supports the needs of the neighborhood and reflects the Boston Public Library's Compass Principles.,Public Facilities Department,In Design,Dorchester,30900000,0,0,0,0,0,347919.00,2500000,11000000,17052081.00,0.00,0,0,0.00,0,30900000
41,Boston Public Library,North End Branch Library,Assess the existing interior and exterior physical conditions and systems according to how ably the branch can accomplish the Compass principles; develop and implement an improvement plan.,Public Facilities Department,To Be Scheduled,North End,865000,0,610000,0,0,0,4183.00,0,0,1470817.00,0.00,0,0,0.00,0,1475000
42,Boston Public Library,Research Collections Preservation and Storage Plan,"A planning study for the storage, preservation and security of the BPL's research collections.",Boston Public Library,Study Underway,Citywide,300000,0,0,0,0,0,0.00,0,100000,200000.00,0.00,0,0,0.00,0,300000
43,Boston Public Library,South End Branch Library,"This project will conduct a facility assessment, review neighborhood goals, develop an updated building program that reflects the BPL's strategic vision supporting the future needs of the neighborhood, and support additional interior improvements.",Public Facilities Department,In Design,South End,1000000,1500000,0,0,0,0,0.00,125000,1200000,1175000.00,0.00,0,0,0.00,0,2500000
44,Boston Public Library,Upham's Corner Library,Design and construct a new branch library that supports the needs of the neighborhood and reflects the Boston Public Library's Compass Principles.,Public Facilities Department,To Be Scheduled,Dorchester,5250000,16750000,0,0,0,0,0.00,75000,200000,21725000.00,0.00,0,0,0.00,0,22000000
45,Boston Public Library,Central Library Façade Study and Repairs,Perform a study of the condition of the facades of the Johnson and McKim buildings and make repairs as needed.,Boston Public Library,In Design,Back Bay,400000,0,0,0,0,0,174815.00,20000,100000,105185.00,0.00,0,0,0.00,0,400000
46,Boston Public Library,South Boston Branch Library Study,Conduct a facility assessment and develop a building program that reflects the BPL's Compass Principles and supports the needs of the neighborhood. Design and construct a new branch library.,Public Facilities Department,To Be Scheduled,South Boston,250000,0,0,0,0,0,0.00,0,0,250000.00,0.00,0,0,0.00,0,250000
47,Boston Public Library,Egleston Square Branch Library,Design and construct a new branch library that supports the needs of the neighborhood and reflects the Boston Public Library's Compass Principles.,Public Facilities Department,In Design,Roxbury,31510000,0,0,0,0,0,0.00,50000,828200,30631800.00,0.00,0,0,0.00,0,31510000
48,Boston Public Library,West End Branch Library,Design and construct a new branch library. Develop a building program that reflects the Boston Public Library's Compass Principles and supports the needs of the neighborhood.,Public Facilities Department,In Design,West End,3000000,10000000,9000000,0,0,0,0.00,0,250000,21750000.00,0.00,0,0,0.00,0,22000000
49,Boston Public Library,Connolly Branch Library,"Upgrade and replace mechanical systems, windows, roof, and waterproof façade. Assess space programming.",Public Facilities Department,In Design,Jamaica Plain,575000,0,0,0,0,0,0.00,150000,0,425000.00,0.00,0,0,0.00,0,575000
50,Boston Public Library,Hyde Park Branch Library,"Upgrade boiler, windows, roof, and façade repairs. Assess space programming.",Public Facilities Department,In Design,Hyde Park,500000,0,0,0,0,0,0.00,150000,0,350000.00,0.00,0,0,0.00,0,500000
51,Boston Public Library,Central Library: McKim Master Plan,Initial design and study of implementation of the McKim Master Plan.,Public Facilities Department,To Be Scheduled,Back Bay,1000000,0,49000000,0,0,0,0.00,0,200000,49800000.00,0.00,0,0,0.00,0,50000000
52,Department of Innovation and Technology,Core Technology Infrastructure,"Install hardware platforms to run applications supporting City business. Scope includes equipment refresh for DWDM and BoNet equipment refresh, VoIP, firewall modernization, SQL environment recovery, and 700 MHz radio equipment and firmware.",Department of Innovation and Technology,Annual Program,Citywide,12669773,0,0,0,0,0,1654975.00,4000000,3715000,3299798.00,0.00,0,0,0.00,0,12669773
53,Department of Innovation and Technology,Cyber Security and Resiliency,Implement solutions to manage and mitigate cyber security risks.,Department of Innovation and Technology,Annual Program,Citywide,10668049,0,0,0,0,0,3179453.00,850000,850000,5788596.00,0.00,0,0,0.00,0,10668049
54,Department of Innovation and Technology,Data Analytics,"Invest in data analytic tools, technologies, and processes to empower data-driven management.",Department of Innovation and Technology,Annual Program,Citywide,9131165,0,0,0,0,0,2230994.00,1665000,1400000,3835171.00,0.00,0,0,0.00,0,9131165
55,Department of Innovation and Technology,Digital Service Delivery and Engagement,Implement digital technology solutions that better engage residents with government.,Department of Innovation and Technology,Annual Program,Citywide,8433296,0,978609,0,0,0,3061994.00,525000,500000,5324911.00,0.00,0,0,0.00,0,9411905
56,Department of Innovation and Technology,Enterprise Applications,Identify and procure enterprise business applications that enhance productivity and improve City business operations.,Department of Innovation and Technology,Annual Program,Citywide,27000000,0,0,0,0,0,14227500.00,1200000,1000000,10572500.00,0.00,0,0,0.00,0,27000000
57,Department of Innovation and Technology,Citywide Revenue Modernization,Planning and design of a centralized collections system to maximize City revenue.,Department of Innovation and Technology,Implementation Underway,Citywide,650000,0,0,0,0,0,0.00,0,0,650000.00,0.00,0,0,0.00,0,650000
58,Department of Innovation and Technology,Trunked Radio System,Design and implementation of upgrades to the trunked radio system.,Department of Innovation and Technology,Implementation Underway,Citywide,6156000,0,0,0,0,0,3872774.00,200000,41019,2042207.00,0.00,0,0,0.00,0,6156000
59,Department of Innovation and Technology,311 Modernization,Upgrade the front and back ends of the BOS:311 system to modernize the software architecture for improved security and provide usability and access improvements.,Department of Innovation and Technology,Implementation Underway,Citywide,6000000,0,0,0,0,0,0.00,500000,500000,5000000.00,0.00,0,0,0.00,0,6000000
60,Department of Innovation and Technology,Unified Constituent Identity and Access Management,Begin work on creating a unified Identity and Access Management system for constituents of Boston to improve security and access of online Boston municipal services.,Department of Innovation and Technology,Implementation Underway,Citywide,1000000,0,0,0,0,0,0.00,0,500000,500000.00,0.00,0,0,0.00,0,1000000
61,Environment Department,Climate Ready Boston Harbor Study,Support the development of a study that will examine the feasibility of measures along and within the Boston Harbor to reduce vulnerability of coastal flooding due to sea level rise caused by climate change.,Environment Department,Study Underway,Multiple Neighborhoods,2700000,0,0,0,0,0,609660.00,375000,800000,915340.00,0.00,0,0,0.00,3000000,5700000
62,Environment Department,Climate Ready Boston Phase 3,Climate resilience planning for City neighborhoods and municipal facilities affected by climate change.,Environment Department,To Be Scheduled,Citywide,491720,0,0,0,0,0,0.00,0,0,491720.00,0.00,0,0,0.00,0,491720
63,Environment Department,Climate Resilience Reserve,Reserve for climate resilient capital investments.,Environment Department,Annual Program,Citywide,4134585,0,0,0,0,0,624871.00,0,0,3509714.00,0.00,0,0,0.00,0,4134585
64,Environment Department,Energy Efficiency Design Services,Design services to enhance the energy efficiency of municipal capital assets.,Environment Department,Implementation Underway,Citywide,325000,0,175000,16774,0,0,101990.00,0,0,398010.00,8625.00,8149,0,0.00,0,516774
65,Environment Department,Exterior Lighting Energy Performance,Identify energy retrofit project opportunities for City owned light fixtures.,Environment Department,Implementation Underway,Citywide,10000000,0,0,0,0,1200000,0.00,0,0,10000000.00,0.00,0,300000,900000.00,0,11200000
66,Environment Department,Renew Boston Trust Phase 3,Identify energy retrofit project opportunities in City owned buildings that are self-financed by future energy savings. The City will implement the program through contracts with Energy Service Companies (ESCOs) that will guarantee the energy savings.,Public Facilities Department,In Construction,Citywide,65200000,0,0,1249014,0,0,18024252.00,28000000,19175748,0.00,1014693.00,234321,0,0.00,0,66449014
67,Environment Department,Mattahunt Woods Preservation,"Clean up debris, manage invasive species, and build trails to restore wetland habitat and create usable open space.",Parks and Recreation Department,In Design,Mattapan,850000,0,0,0,0,0,26450.00,125000,350000,348550.00,0.00,0,0,0.00,0,850000
68,Environment Department,Climate Ready Streets,"Plan, design, and construct infrastructure in areas on and adjacent to public streets that reduce storm water flooding, protect residents from extreme heat, and improve air quality. Program will target transit corridors with on-going capital projects.",Environment Department,To Be Scheduled,Citywide,0,0,0,2500000,0,0,0.00,0,0,0.00,0.00,104230,500000,1895770.00,0,2500000
69,Environment Department,Urban Wilds Land Management Plan,"Develop an Urban Wilds conservation and land management plan to establish criteria to prioritize future capital renovations, land acquisition, and management priorities for existing properties.",Environment Department,To Be Scheduled,Citywide,350000,0,0,0,0,0,0.00,0,0,350000.00,0.00,0,0,0.00,0,350000
70,Environment Department,Moakley Park Connectors,Design of connection walking paths to Moakley Park from adjacent neighborhoods.,Environment Department,Study Underway,South Boston,544500,0,0,0,0,0,0.00,125000,250000,169500.00,0.00,0,0,0.00,1633500,2178000
71,Office of Arts & Culture,Percent for the Arts,"One percent of the City’s annual planned bond issuance is designated for the commissioning of permanent, public art in municipal spaces. Site selection will be coordinated with projects in the capital plan.",Office of Arts and Culture,Annual Program,Citywide,17850000,4500000,0,0,0,0,2018790.00,1000000,1000000,18331210.00,0.00,0,0,0.00,0,22350000
72,Office of Arts & Culture,Book Mark'd,Fabricate and install a bronze sculpture of books for the entrance of the Mattapan Branch Library.,Office of Arts and Culture,Implementation Underway,Mattapan,250000,0,0,0,0,0,100000.00,75000,75000,0.00,0.00,0,0,0.00,0,250000
73,Office of Arts & Culture,The Legacy of Frederick Douglass,Fabricate and install a bronze figure grouping and construct a plaza honoring Frederick Douglass in Douglass Square.,Office of Arts and Culture,Implementation Underway,Roxbury,550000,0,0,0,0,0,116000.00,77700,300000,56300.00,0.00,0,0,0.00,0,550000
74,Office of Arts & Culture,Chinatown Worker Statues Project,"Design, fabricate, and install four bronze figures on four separate sites in the Chinatown neighborhood of Boston.",Office of Arts and Culture,To Be Scheduled,Chinatown,1000000,0,0,0,0,0,0.00,143700,395800,460500.00,0.00,0,0,0.00,0,1000000
75,Office of Arts & Culture,Art Signage Upgrades,"Design, fabricate, and install custom interpretative signage for numerous artworks across the City.",Office of Arts and Culture,Study Underway,Citywide,100000,0,0,0,0,0,0.00,0,0,100000.00,0.00,0,0,0.00,0,100000
76,Office of Arts & Culture,Park Plaza Monument/Memorial,"Select an artist who will design, manage the fabrication and the installation of a new artwork to be installed on the site formerly occupied by the Emancipation Group statue in Park Plaza.",Office of Arts and Culture,To Be Scheduled,Bay Village,500000,0,0,0,0,0,0.00,0,0,500000.00,0.00,0,0,0.00,0,500000
77,Office of Arts & Culture,Emergent Memory (Cocoanut Grove Memorial)," Design, fabrication, site preparation, and installation of public art in Statler Park.",Office of Arts and Culture,Implementation Underway,Bay Village,305000,0,0,0,0,0,0.00,50000,130000,125000.00,0.00,0,0,0.00,145000,450000
78,Office of Arts & Culture,Cultural Center Study,"Conduct a needs assessment, programming, and siting assessment for the development of a neighborhood-based facility that could support local events and activities and also sustain local cultural identities.",Public Facilities Department,To Be Scheduled,Multiple Neighborhoods,125000,0,0,0,0,0,0.00,0,0,125000.00,0.00,0,0,0.00,0,125000
79,Mayor's Office of Housing,BHA Charlestown,"Investment that supports the redevelopment of the Bunker Hill Housing Development. The initial phase includes 236 affordable units and over the life of the project will produce 1,010 affordable units.",Boston Housing Authority,In Construction,Charlestown,30000000,0,0,0,0,0,4038546.00,9000000,9000000,7961454.00,0.00,0,0,0.00,0,30000000
80,Mayor's Office of Housing,BHA Housing Improvements,"Upgrade elderly/disabled public housing units in several BHA communities including Saint Botolph in the South End, the Doris Bunte Apartments in Egleston Square, and Patricia White in Brighton.",Boston Housing Authority,Annual Program,Citywide,20000000,0,0,0,0,0,10000000.00,5000000,5000000,0.00,0.00,0,0,0.00,0,20000000
81,Mayor's Office of Housing,Mildred C. Hailey Phase 1 Redevelopment,The project will consist of a total of ~690 apartments which will include the 1-to-1 replacement of the existing 253 public housing units and the construction of ~435 new affordable and upper middle-income apartments.,Boston Housing Authority,In Construction,Jamaica Plain,17000000,0,0,0,0,0,10000000.00,7000000,0,0.00,0.00,0,0,0.00,0,17000000
82,Mayor's Office of Housing,Mary Ellen McCormack Redevelopment,"Phase One comprises 1,365 units of new mixed-income housing (572 of which are affordable replacement units), 69,000 sq. ft. of community and retail space, 2.3 acres of open space, and approx. 520 parking spaces.",Boston Housing Authority,In Design,South Boston,20000000,0,0,0,0,0,0.00,0,0,20000000.00,0.00,0,0,0.00,0,20000000
83,Mayor's Office of Housing,Mildred C. Hailey Preservation,"Renovate existing BHA housing units including plumbing, ventilation, windows, and other building repairs.",Boston Housing Authority,In Construction,Jamaica Plain,52000000,0,0,0,0,0,0.00,4000000,18000000,30000000.00,0.00,0,0,0.00,0,52000000
84,Mayor's Office of Housing,BHA Retrofit,"Conduct energy efficiency retrofits at various BHA sites across Boston by electrifying HVAC systems and replacing natural gas stoves appliances, and electrifying other energy systems.",Boston Housing Authority,To Be Scheduled,Citywide,25000000,0,0,25000000,0,0,0.00,0,0,25000000.00,0.00,2500000,7500000,15000000.00,0,50000000
85,Emergency Management,Emergency Operations Center,A programming and siting study for the development of an emergency operations center.,Public Facilities Department,To Be Scheduled,Citywide,1500000,0,0,0,0,0,0.00,0,0,1500000.00,0.00,0,0,0.00,0,1500000
86,Parks and Recreation Department,Animal Shelter,Develop a building program and assess siting options.,Public Facilities Department,In Design,Roxbury,5100000,0,0,0,0,0,49679.00,1500000,0,3550321.00,0.00,0,0,0.00,0,5100000
87,Parks and Recreation Department,Artificial Turf Replacement,"Annual program to replace artificial turf fields. High priority projects include Charlestown High School, Saunders Stadium at Moakley Park, and multi-purpose fields at East Boston Memorial Park.",Parks and Recreation Department,Annual Program,Citywide,9000000,0,0,0,0,0,3029756.00,4000000,500000,1470244.00,0.00,0,0,0.00,250000,9250000
88,Parks and Recreation Department,Back Bay Fens Pathways,Rehabilitate pathways at the Back Bay Fens to improve accessibility and site conditions.,Parks and Recreation Department,In Design,Fenway-Kenmore,7500000,0,0,0,0,0,197843.00,25000,0,7277157.00,0.00,0,0,0.00,0,7500000
89,Parks and Recreation Department,Bay Village Neighborhood Park,"Comprehensive park renovation and addition of new plantings, park furniture, and interpretive feature describing neighborhood history.",Parks and Recreation Department,In Design,Bay Village,550000,0,0,0,0,0,17429.00,30000,0,502571.00,0.00,0,0,0.00,25000,575000
90,Parks and Recreation Department,Billings Field,"Design a comprehensive park renovation including fields, courts, and other park infrastructure.",Parks and Recreation Department,In Design,West Roxbury,4200000,8400000,0,0,0,0,113856.00,0,0,12486144.00,0.00,0,0,0.00,0,12600000
91,Parks and Recreation Department,Boston Common Master Plan,Develop a master plan to bring the nation's oldest public park to the level of excellence commensurate with its historical importance and use by the City’s residents and visitors.,Parks and Recreation Department,Implementation Underway,Beacon Hill,0,0,0,19020000,0,0,0.00,0,0,0.00,900357.00,50000,0,18069643.00,0,19020000
92,Parks and Recreation Department,Boston Common Tadpole Play Lot,"Revitalize the Boston Common playground including new play equipment, safety surfacing and site furnishings.",Parks and Recreation Department,In Design,Beacon Hill,1000000,0,0,0,0,0,0.00,0,250000,750000.00,0.00,0,0,0.00,0,1000000
93,Parks and Recreation Department,Building Assessment at Active Cemeteries,Assess conditions and develop repair plan for buildings in the City's three active cemeteries.,Public Facilities Department,Study Underway,Multiple Neighborhoods,200000,0,0,0,0,0,0.00,75000,0,125000.00,0.00,0,0,0.00,0,200000
94,Parks and Recreation Department,Bussey Brook Meadow Trail at Arnold Arboretum,"Repair and extension of walking paths, wetland habitat restoration and improvements to Bussey Brook flood retention capacity.",Parks and Recreation Department,In Design,Jamaica Plain,600000,0,0,0,0,0,0.00,0,0,600000.00,0.00,0,0,0.00,0,600000
95,Parks and Recreation Department,Byrne Playground,"Renovate park including play lots, courts, and passive areas.",Parks and Recreation Department,In Design,Dorchester,400000,0,1970000,0,0,0,0.00,77200,0,2292800.00,0.00,0,0,0.00,0,2370000
96,Parks and Recreation Department,Ceylon Park,"Design of park improvements including upgrades to artificial turf, sports lighting, basketball court, playgrounds, splash pad, spectator seating, and accessibility.",Parks and Recreation Department,In Construction,Roxbury,4100000,575000,0,0,0,0,96117.00,500000,2000000,2078883.00,0.00,0,0,0.00,0,4675000
97,Parks and Recreation Department,Christopher Columbus Park,"Playground renovation including play structure, safety surfacing, fencing, lighting, site furnishings, pathway repairs, drainage, signage, and green infrastructure to mitigate future sea level rise.",Parks and Recreation Department,In Design,North End,3500000,0,0,0,0,0,0.00,0,0,3500000.00,0.00,0,0,0.00,0,3500000
98,Parks and Recreation Department,Clarendon Street Playground,Upgrade play equipment.,Parks and Recreation Department,In Construction,Back Bay,1955000,0,0,0,0,0,153376.00,500000,1220000,81624.00,0.00,0,0,0.00,0,1955000
99,Parks and Recreation Department,Clifford Playground,Develop design for a comprehensive park renovation.,Parks and Recreation Department,In Design,Roxbury,7220000,5780000,0,1000000,0,0,0.00,500000,1750000,10750000.00,0.00,0,1000000,0.00,0,14000000
